iter	RMSE
0	0.1364949679
1	0.1314137103
2	0.1266378753
3	0.1221668344
4	0.1180024494
5	0.1140684737
6	0.1104117452
7	0.1069430405
8	0.1037112262
9	0.1007092056
10	0.09793826197
11	0.09529382697
12	0.09277240895
13	0.09052943851
14	0.0884208318
15	0.08651324234
16	0.08473534561
17	0.08296183157
18	0.08136829761
19	0.07986668108
20	0.07851233646
21	0.07724155072
22	0.07568394566
23	0.07399776401
24	0.07245250727
25	0.07104046723
26	0.06974378801
27	0.06814496807
28	0.06666335371
29	0.06532134376
30	0.0639918464
31	0.06278736962
32	0.06179381804
33	0.06084542243
34	0.05987630071
35	0.05901801911
36	0.05822239567
37	0.05750547653
38	0.05678190902
39	0.05618223169
40	0.0556371524
41	0.05502567925
42	0.05461818231
43	0.05413105524
44	0.05373732176
45	0.05327360341
46	0.05289322893
47	0.05260300855
48	0.05223975461
49	0.0519343556
50	0.05162080517
51	0.05130908885
52	0.05110017042
53	0.05084164024
54	0.05059413399
55	0.05038499678
56	0.05009154403
57	0.04984292072
58	0.04967479425
59	0.04953519676
60	0.04937652042
61	0.04916040916
62	0.04899539289
63	0.04882251388
64	0.04869986753
65	0.04856869295
66	0.048465251
67	0.04834891729
68	0.04819572101
69	0.04810821936
70	0.04800240881
71	0.04782782914
72	0.04773788617
73	0.04761944213
74	0.0474803355
75	0.04740569451
76	0.04732136166
77	0.04722774364
78	0.04709702999
79	0.04703384842
80	0.04691861977
81	0.04681182692
82	0.04671678041
83	0.04663436489
84	0.04655753071
85	0.04647931138
86	0.0464146713
87	0.04628783197
88	0.04620775279
89	0.04617463752
90	0.04610822102
91	0.04604333957
92	0.0459800368
93	0.04588379774
94	0.0457557319
95	0.04571369754
96	0.04567009929
97	0.04562124
98	0.0455385172
99	0.04540312892
100	0.04534238243
101	0.04528494428
102	0.0452425739
103	0.04515409315
104	0.04505349298
105	0.04497169323
106	0.04492883382
107	0.04488472326
108	0.04477087209
109	0.04472668491
110	0.04467043717
111	0.04461157438
112	0.04456314299
113	0.04449261197
114	0.04441814957
115	0.04437324497
116	0.04432619768
117	0.04424629364
118	0.04420640486
119	0.04416826548
120	0.04412557461
121	0.04409626009
122	0.04406244089
123	0.04396865602
124	0.0439231851
125	0.04388093937
126	0.04383915348
127	0.04380992064
128	0.04375990239
129	0.0437213617
130	0.04368613195
131	0.04365341727
132	0.04359333153
133	0.04356858158
134	0.04350751962
135	0.04342373286
136	0.04340708523
137	0.0433226074
138	0.04327364308
139	0.04323048137
140	0.04317494103
141	0.04316130181
142	0.04312572705
143	0.04310371585
144	0.04305032692
145	0.04301543875
146	0.04296468518
